Name,Year,Rating,Genres,Actors,Plot,Poster_Path,Category,Source_URL
Man of Steel,2013,56 / 100,"Science Fiction, Action, Adventure","Zack Snyder, David S. Goyer, Henry Cavill, Amy Adams, Russell Crowe, Michael Shannon, Kevin Costner, Laurence Fishburne","A young boy learns that he has extraordinary powers and is not of this earth. As a young man, he journeys to discover where he came from and what he was sent here to do. But the hero in him must emerge if he is to save the world from annihilation and become the symbol of hope for all mankind.",posters/Man_of_Steel_2013.jpg,Movie,https://www.cinematerial.com/movies/man-of-steel-i770828
Gladiator,2000,76 / 100,"Drama, Adventure, Action","Ridley Scott, William Nicholson, John Logan, David Franzoni, Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Derek Jacobi","After the death of Emperor Marcus Aurelius, his devious son takes power and demotes Maximus, one of Rome's most capable generals who Marcus preferred. Eventually, Maximus is forced to become a gladiator and battle to the death against other men for the amusement of paying audiences.",posters/Gladiator_2000.jpg,Movie,https://www.cinematerial.com/movies/gladiator-i172495
The Amazing Spider-Man,2012,72 / 100,"Science Fiction, Action, Adventure","Marc Webb, Steve Kloves, James Vanderbilt, Alvin Sargent, Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen, Sally Field","Peter Parker is an outcast high schooler abandoned by his parents as a boy, leaving him to be raised by his Uncle Ben and Aunt May. Like most teenagers, Peter is trying to figure out who he is and how he got to be the person he is today. As Peter discovers a mysterious briefcase that belonged to his father, he begins a quest to understand his parents' disappearance – leading him directly to Oscorp and the lab of Dr. Curt Connors, his father's former partner. As Spider-Man is set on a collision course with Connors' alter ego, The Lizard, Peter will make life-altering choices to use his powers and shape his destiny to become a hero.",posters/The_Amazing_Spider-Man_2012.jpg,Movie,https://www.cinematerial.com/movies/the-amazing-spider-man-i948470
Harry Potter and the Half-Blood Prince,2009,83 / 100,"Fantasy, Adventure","David Yates, Steve Kloves, Daniel Radcliffe, Rupert Grint, Emma Watson, Jim Broadbent, Michael Gambon, Tom Felton","As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.",posters/Harry_Potter_and_the_Half-Blood_Prince_2009.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-half-blood-prince-i417741
Scarface,1983,82 / 100,"Crime, Drama, Action","Brian De Palma, Oliver Stone, Al Pacino, Steven Bauer, Michelle Pfeiffer, Mary Elizabeth Mastrantonio, Robert Loggia, Miriam Colon","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",posters/Scarface_1983.jpg,Movie,https://www.cinematerial.com/movies/scarface-i86250
Batman Begins,2005,85 / 100,"Crime, Drama, Action","Christopher Nolan, Christopher Nolan, David S. Goyer, Christian Bale, Michael Caine, Liam Neeson, Katie Holmes, Gary Oldman, Cillian Murphy","Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.",posters/Batman_Begins_2005.jpg,Movie,https://www.cinematerial.com/movies/batman-begins-i372784
Harry Potter and the Chamber of Secrets,2002,82 / 100,"Fantasy, Adventure","Chris Columbus, Steve Kloves, Daniel Radcliffe, Rupert Grint, Emma Watson, Kenneth Branagh, Toby Jones, Robbie Coltrane","Cars fly, trees fight back, and a mysterious house-elf comes to warn Harry Potter at the start of his second year at Hogwarts. Adventure and danger await when bloody writing on a wall announces: The Chamber Of Secrets Has Been Opened. To save Hogwarts will require all of Harry, Ron and Hermione's magical abilities and courage.",posters/Harry_Potter_and_the_Chamber_of_Secrets_2002.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-chamber-of-secrets-i295297
Harry Potter and the Prisoner of Azkaban,2004,91 / 100,"Fantasy, Adventure","Alfonso Cuarón, Steve Kloves, Daniel Radcliffe, Rupert Grint, Emma Watson, Robbie Coltrane, Michael Gambon, Gary Oldman","Year three at Hogwarts means new fun and challenges as Harry learns the delicate art of approaching a Hippogriff, transforming shape-shifting Boggarts into hilarity and even turning back time. But the term also brings danger: soul-sucking Dementors hover over the school, an ally of the accursed He-Who-Cannot-Be-Named lurks within the castle walls, and fearsome wizard Sirius Black escapes Azkaban. And Harry will confront them all.",posters/Harry_Potter_and_the_Prisoner_of_Azkaban_2004.jpg,Movie,https://www.cinematerial.com/movies/harry-potter-and-the-prisoner-of-azkaban-i304141
Predator,1987,78 / 100,"Thriller, Science Fiction, Action, Adventure","John McTiernan, Jim Thomas, John Thomas, Arnold Schwarzenegger, Carl Weathers, Kevin Peter Hall, Elpidia Carrillo, Bill Duke, Jesse Ventura",A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,posters/Predator_1987.jpg,Movie,https://www.cinematerial.com/movies/predator-i93773
2001: A Space Odyssey,1968,96 / 100,"Science Fiction, Adventure, Mystery","Stanley Kubrick, Stanley Kubrick, Arthur C. Clarke, Keir Dullea, Gary Lockwood, William Sylvester, Douglas Rain, Daniel Richter, Leonard Rossiter","Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer.",posters/2001_A_Space_Odyssey_1968.jpg,Movie,https://www.cinematerial.com/movies/2001-a-space-odyssey-i62622
Batman v Superman: Dawn of Justice,2016,,"Fantasy, Action, Adventure","Zack Snyder, David S. Goyer, Chris Terrio, Ben Affleck, Henry Cavill, Jesse Eisenberg, Gal Gadot, Amy Adams, Diane Lane","Fearing the actions of a god-like Super Hero left unchecked, Gotham City’s own formidable, forceful vigilante takes on Metropolis’s most revered, modern-day savior, while the world wrestles with what sort of hero it really needs. And with Batman and Superman at war with one another, a new threat quickly arises, putting mankind in greater danger than it’s ever known before.",posters/Batman_v_Superman_Dawn_of_Justice_2016.jpg,Movie,https://www.cinematerial.com/movies/batman-v-superman-dawn-of-justice-i2975590
Skyfall,2012,93 / 100,"Thriller, Action, Adventure","Sam Mendes, John Logan, Neal Purvis, Robert Wade, Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris, Bérénice Marlohe","When Bond's latest assignment goes gravely wrong, agents around the world are exposed and MI6 headquarters is attacked. While M faces challenges to her authority and position from Gareth Mallory, the new Chairman of the Intelligence and Security Committee, it's up to Bond, aided only by field agent Eve, to locate the mastermind behind the attack.",posters/Skyfall_2012.jpg,Movie,https://www.cinematerial.com/movies/skyfall-i1074638
"The Good, the Bad and the Ugly",1966,97 / 100,Western,"Sergio Leone, Sergio Leone, Agenore Incrocci, Luciano Vincenzoni, Furio Scarpelli, Clint Eastwood, Eli Wallach, Lee Van Cleef, Aldo Giuffrè, Luigi Pistilli","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.","posters/The_Good,_the_Bad_and_the_Ugly_1966.jpg",Movie,https://www.cinematerial.com/movies/the-good-the-bad-and-the-ugly-i60196
Dune,2021,,"Science Fiction, Adventure","Denis Villeneuve, Denis Villeneuve, Eric Roth, Jon Spaihts, Timothée Chalamet, Rebecca Ferguson, Oscar Isaac, Jason Momoa, Stellan Skarsgård, Stephen McKinley Henderson","Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",posters/Dune_2021.jpg,Movie,https://www.cinematerial.com/movies/dune-i1160419
